,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
159,Mississippi Valley State,27,6,21,.222,-16.97,-7.59,6,10,,,,,1991,2221,,,94.7,.295,.402,.449,49.5,37.9,10.2,8.5,.427,16.9,42.9,.171
160,Mississippi NCAA,29,22,7,.759,17.22,7.07,12,4,,,,,2334,1974,,,108.7,.474,.310,.543,54.3,50.0,10.8,10.6,.511,17.2,39.7,.309
161,Missouri-Kansas City,27,9,18,.333,-11.17,-5.33,7,9,,,,,1842,1964,,,96.0,.320,.247,.502,47.4,53.2,10.2,4.7,.477,18.7,33.8,.202
162,Missouri State,32,16,16,.500,7.44,3.63,11,7,,,,,2369,2247,,,104.1,.441,.258,.546,51.5,63.7,11.1,7.1,.499,18.3,33.8,.325
163,Missouri,32,17,15,.531,6.81,7.40,8,8,,,,,2280,2299,,,97.7,.369,.310,.518,49.2,57.5,11.0,6.7,.480,19.4,32.8,.259
164,Monmouth,27,4,23,.148,-16.37,-4.22,3,13,,,,,1624,1952,,,89.7,.237,.357,.514,40.9,64.0,11.7,4.1,.493,21.9,24.7,.159
165,Montana State,30,19,11,.633,2.75,-3.97,9,7,,,,,2400,2096,,,107.5,.318,.362,.579,51.1,72.6,9.3,6.3,.545,18.2,29.6,.244
166,Montana,30,16,14,.533,-3.71,-3.47,9,7,,,,,2052,1992,,,98.8,.382,.264,.535,51.6,57.3,11.6,5.3,.486,20.9,35.1,.291
167,Morehead State,26,3,23,.115,-15.15,-3.85,2,16,,,,,1653,1947,,,88.6,.352,.271,.474,53.1,58.8,11.0,5.9,.437,21.9,41.5,.232
168,Morgan State,28,12,16,.429,-13.93,-8.90,11,7,,,,,2034,2177,,,93.3,.360,.293,.499,44.9,52.3,14.4,11.7,.473,20.3,33.1,.224
169,Mount St. Mary's,28,13,15,.464,-5.00,-5.60,8,8,,,,,2000,1983,,,100.9,.289,.358,.510,48.6,59.3,11.5,9.6,.486,17.3,35.7,.188
170,Murray State NCAA,33,29,4,.879,6.82,-6.35,16,2,,,,,2862,2334,,,116.3,.416,.249,.577,53.4,52.1,9.0,8.3,.550,15.8,40.1,.282
171,Navy NCAA,30,19,11,.633,-3.78,-7.49,10,2,,,,,2132,1941,,,97.9,.405,.186,.499,53.5,53.3,13.0,8.2,.461,18.6,38.6,.267
172,Nebraska NCAA,32,20,12,.625,8.70,5.63,10,6,,,,,2290,2192,,,98.7,.335,.225,.510,50.8,58.9,13.7,12.0,.486,19.7,39.2,.209
173,Nevada-Las Vegas NCAA,33,20,13,.606,7.40,5.31,7,7,,,,,2292,2197,,,100.9,.475,.311,.515,50.8,56.4,8.6,8.7,.475,16.8,33.3,.312
174,Nevada,28,16,12,.571,0.76,0.69,11,5,,,,,2156,2119,,,105.5,.418,.330,.573,49.5,63.0,9.4,6.1,.534,19.7,31.3,.307
175,New Hampshire,27,10,17,.370,-10.28,-4.54,6,12,,,,,1767,1889,,,95.7,.358,.322,.522,48.8,59.1,8.1,8.1,.487,20.2,30.3,.248
176,New Mexico State,30,18,12,.600,3.74,0.05,8,8,,,,,2250,2069,,,107.5,.374,.349,.548,51.4,51.5,8.7,7.8,.521,17.3,35.9,.249
177,New Mexico NCAA,32,24,8,.750,14.89,5.08,11,3,,,,,2423,2109,,,114.9,.317,.417,.587,50.3,62.5,10.7,9.3,.556,15.7,32.7,.240
178,New Orleans,27,15,12,.556,-0.88,-2.99,9,9,,,,,1870,1813,,,,.420,.277,.535,51.2,58.2,,9.7,.499,20.3,,.287
179,Niagara,27,14,13,.519,0.52,-1.41,10,8,,,,,1953,1901,,,107.4,.447,.237,.566,52.3,61.3,8.6,8.0,.524,19.4,38.7,.325
180,Nicholls State NCAA,29,19,10,.655,-5.35,-5.95,15,1,,,,,2228,2194,,,103.5,.395,.278,.540,47.3,60.4,13.8,7.6,.505,18.1,33.5,.274
181,Norfolk State,27,6,21,.222,-16.23,-5.71,0,0,,,,,1783,2047,,,90.4,.340,.186,.475,48.6,40.4,12.5,9.1,.441,20.5,38.4,.222
182,North Carolina-Asheville,28,19,9,.679,-4.22,-5.90,11,1,,,,,2002,1872,,,101.6,.472,.232,.530,52.5,55.4,12.2,14.7,.497,20.7,41.7,.304
183,North Carolina A&T,27,8,19,.296,-17.99,-10.99,7,11,,,,,1849,2027,,,96.0,.395,.348,.509,50.9,49.1,8.1,5.8,.479,22.2,41.4,.251
184,North Carolina-Greensboro,28,9,19,.321,-12.68,-4.44,6,9,,,,,1783,1986,,,95.6,.326,.242,.504,51.7,54.0,8.5,5.5,.468,20.8,38.6,.229
185,North Carolina State,32,17,15,.531,10.84,8.53,5,11,,,,,2062,1988,,,101.8,.375,.327,.536,47.6,57.2,11.7,7.9,.497,17.8,33.7,.269
186,North Carolina-Wilmington,31,20,11,.645,0.41,-0.08,13,3,,,,,1920,1905,,,98.9,.325,.294,.501,48.5,58.5,11.4,5.1,.470,15.8,31.5,.216
187,North Carolina NCAA,38,34,4,.895,26.67,10.38,13,3,,,,,3113,2494,,,118.2,.429,.234,.592,55.2,61.8,9.8,12.3,.560,15.8,41.2,.305
188,North Texas,26,5,21,.192,-9.91,4.02,4,12,,,,,1992,2354,,,93.8,.256,.412,.463,46.1,42.2,14.3,4.9,.430,17.0,37.1,.179
189,Northeastern Illinois,25,6,19,.240,-21.26,-6.00,3,13,,,,,1733,2037,,,,.367,.325,.498,46.4,55.4,,5.3,.458,19.6,,.255
190,Northeastern,28,14,14,.500,-6.59,-5.34,9,9,,,,,1890,1925,,,98.5,.354,.248,.501,50.8,46.3,11.1,6.4,.459,18.1,37.2,.253
191,Northern Arizona NCAA,29,21,8,.724,6.45,-5.19,13,3,,,,,2326,1954,,,112.4,.398,.375,.620,52.5,65.0,10.9,7.5,.592,20.6,34.1,.292
192,Northern Illinois,26,10,16,.385,-3.91,-1.87,6,12,,,,,1764,1770,,,96.4,.370,.246,.499,51.5,52.3,10.4,6.0,.462,18.8,36.1,.248
193,Northern Iowa,27,10,17,.370,-0.99,0.16,4,14,,,,,1869,1900,,,97.8,.308,.340,.487,50.5,55.6,10.5,9.3,.457,16.9,36.7,.204
194,Northwestern State,27,13,14,.481,-10.07,-7.79,10,6,,,,,1993,1998,,,100.7,.433,.265,.534,50.8,59.2,11.1,4.8,.498,20.2,36.9,.292
195,Northwestern,27,10,17,.370,2.33,5.59,3,13,,,,,1636,1724,,,97.1,.481,.312,.553,55.1,71.4,6.4,5.1,.533,23.8,34.4,.294
196,Notre Dame,27,13,14,.481,5.54,6.28,7,11,,,,,1896,1916,,,99.1,.371,.304,.532,52.2,68.0,9.5,6.3,.502,20.6,35.2,.248
197,Ohio State,30,8,22,.267,1.82,8.72,1,15,,,,,1978,2185,,,95.7,.363,.274,.505,47.8,56.9,9.2,9.6,.488,19.4,34.9,.209
198,Ohio,26,5,21,.192,-11.06,2.44,3,15,,,,,1663,2014,,,90.1,.384,.275,.484,50.6,54.7,6.6,5.5,.451,22.9,38.7,.244
199,Oklahoma State NCAA,29,22,7,.759,14.29,4.63,11,5,,,,,2288,2008,,,109.1,.404,.289,.551,52.0,60.6,11.9,4.7,.515,16.3,35.8,.284
200,Oklahoma NCAA,33,22,11,.667,9.40,4.18,11,5,,,,,2462,2253,,,107.0,.477,.278,.540,53.6,57.5,10.6,10.8,.495,18.3,40.4,.334
201,Old Dominion,28,12,16,.429,-2.70,-0.67,8,8,,,,,1738,1795,,,95.8,.358,.324,.504,51.4,61.4,8.7,15.6,.479,19.6,35.4,.220
202,Oral Roberts,31,19,12,.613,0.35,-4.94,12,4,,,,,2485,2234,,,107.4,.363,.361,.573,50.1,62.8,11.5,7.0,.554,20.2,37.1,.236
203,Oregon State,30,13,17,.433,4.79,6.25,3,15,,,,,2121,2094,,,98.1,.410,.280,.527,51.1,55.9,11.8,9.7,.507,20.5,36.3,.247
204,Oregon,27,13,14,.481,6.03,7.26,8,10,,,,,1859,1893,,,100.4,.376,.340,.530,50.1,60.9,9.4,9.5,.497,19.6,35.9,.255
205,Pacific,33,23,10,.697,8.51,-0.56,14,2,,,,,2411,2086,,,111.3,.474,.361,.582,54.2,67.2,6.7,10.3,.567,17.7,35.0,.291
206,Penn State,32,19,13,.594,10.48,6.41,8,8,,,,,2334,2204,,,106.6,.366,.360,.573,48.0,62.5,10.4,12.7,.537,18.7,31.6,.271
207,Pennsylvania,29,17,12,.586,-0.64,-2.84,10,4,,,,,2075,2011,,,106.6,.389,.336,.557,48.9,56.9,8.7,4.3,.528,16.3,29.1,.265
208,Pepperdine,27,17,10,.630,4.92,0.99,9,5,,,,,1885,1779,,,101.7,.354,.270,.540,52.2,58.4,10.8,7.8,.513,18.9,32.4,.236
209,Pittsburgh,27,11,16,.407,2.66,5.96,6,12,,,,,1987,2076,,,100.7,.295,.290,.519,49.7,53.2,12.2,11.7,.491,19.6,39.8,.203
210,Portland,27,14,13,.519,-3.26,0.30,7,7,,,,,1822,1821,,,95.7,.360,.278,.503,47.2,50.8,12.3,6.3,.474,18.7,31.7,.229
211,Prairie View NCAA,30,13,17,.433,-17.13,-6.21,6,10,,,,,2175,2404,,,90.4,.420,.235,.462,46.9,40.6,11.5,6.2,.428,18.4,35.1,.253
212,Princeton NCAA,29,27,2,.931,11.55,-3.60,14,0,,,,,1928,1495,,,115.6,.319,.496,.609,47.6,69.9,14.7,8.4,.594,15.7,26.4,.215
213,Providence,29,13,16,.448,7.09,7.78,7,11,,,,,1896,1916,,,96.2,.401,.276,.502,48.0,59.5,12.6,7.5,.458,18.4,34.4,.281
214,Purdue NCAA,36,28,8,.778,20.68,9.23,12,4,,,,,3014,2602,,,113.4,.395,.297,.581,47.0,64.3,11.8,8.0,.539,17.7,39.5,.301
215,Radford NCAA,30,20,10,.667,-5.03,-8.69,10,2,,,,,2271,2162,,,104.6,.357,.372,.568,50.2,62.9,10.9,7.3,.541,21.0,35.7,.246
216,Rhode Island NCAA,34,25,9,.735,12.58,6.43,12,4,,,,,2642,2433,,,109.9,.371,.337,.549,47.4,55.4,10.3,10.3,.514,15.0,34.5,.263
217,Rice,28,6,22,.214,-2.16,5.69,3,11,,,,,1772,1962,,,92.2,.319,.291,.486,49.4,62.3,8.2,6.7,.458,18.7,31.9,.203
218,Richmond NCAA,31,23,8,.742,6.35,-1.68,12,4,,,,,2169,1920,,,112.0,.327,.358,.555,48.7,56.8,9.8,8.4,.527,14.4,33.2,.228
219,Rider,28,18,10,.643,1.27,-3.31,12,6,,,,,1972,1844,,,102.5,.434,.294,.557,53.0,59.7,10.5,7.7,.520,21.1,36.7,.302
220,Robert Morris,27,8,19,.296,-12.28,-6.12,4,12,,,,,1702,1850,,,92.9,.325,.228,.486,51.6,62.0,8.3,3.3,.452,20.6,38.1,.218
221,Rutgers,29,14,15,.483,9.47,6.74,6,12,,,,,2007,1928,,,101.4,.430,.348,.542,49.2,64.6,11.7,8.8,.506,20.8,36.5,.294
222,Sacramento State,26,1,25,.038,-22.40,-2.05,0,16,,,,,1517,2017,,,84.5,.314,.270,.460,48.9,51.0,6.7,4.8,.441,22.3,34.5,.174
223,Saint Francis (PA),27,17,10,.630,-4.81,-7.46,10,6,,,,,1872,1799,,,99.7,.445,.265,.543,54.5,60.5,9.4,8.3,.496,22.7,41.3,.322
224,Saint Joseph's,28,11,17,.393,1.57,5.46,3,13,,,,,1872,1981,,,98.9,.348,.379,.508,50.2,56.8,7.3,6.7,.474,17.7,34.4,.235
225,Saint Louis NCAA,33,22,11,.667,9.48,5.51,11,5,,,,,2221,2090,,,98.3,.425,.290,.518,46.8,59.0,12.9,5.9,.482,18.8,32.8,.282
226,Saint Mary's (CA),26,11,15,.423,-2.55,1.73,7,7,,,,,1955,2058,,,106.1,.417,.410,.546,49.0,52.9,7.2,3.6,.501,17.9,35.8,.305
227,Saint Peter's,27,8,19,.296,-6.18,-2.84,4,14,,,,,1862,1952,,,97.5,.389,.194,.499,52.4,52.2,9.4,7.1,.464,19.7,41.2,.254
228,Sam Houston State,26,9,17,.346,-10.98,-6.40,7,9,,,,,1805,1924,,,102.1,.371,.335,.551,48.1,66.7,8.5,5.2,.511,20.0,33.3,.274
229,Samford,27,14,13,.519,-9.51,-10.34,9,7,,,,,1860,1808,,,104.7,.431,.423,.574,51.0,61.8,7.5,6.9,.535,20.1,32.0,.312
230,San Diego State,28,13,15,.464,-1.21,3.27,5,9,,,,,1939,2050,,,94.8,.418,.362,.505,47.3,49.3,10.8,6.3,.467,19.8,33.8,.276
231,San Diego,28,14,14,.500,-1.15,0.70,5,9,,,,,1973,1979,,,101.8,.434,.292,.569,48.4,59.8,9.6,5.3,.529,20.3,28.7,.315
232,San Francisco NCAA,30,19,11,.633,7.97,1.48,7,7,,,,,2197,1989,,,106.4,.315,.296,.546,54.2,57.4,12.5,7.9,.518,18.7,40.4,.221
233,San Jose State,26,3,23,.115,-12.42,4.70,1,13,,,,,1551,1995,,,85.1,.289,.228,.446,45.9,59.4,6.3,5.5,.409,18.6,31.9,.196
234,Santa Clara,28,18,10,.643,6.83,2.31,8,6,,,,,2050,1903,,,102.5,.406,.288,.507,51.9,55.1,11.6,7.2,.466,16.1,37.2,.277
235,Seton Hall,30,15,15,.500,6.24,7.73,9,9,,,,,2028,2061,,,98.4,.293,.409,.498,48.6,55.6,11.1,6.2,.464,16.8,34.1,.207
236,Siena,29,17,12,.586,0.30,-2.95,10,8,,,,,2417,2323,,,,.391,.348,.558,48.2,61.2,,8.8,.504,,31.6,.314
237,South Alabama NCAA,28,21,7,.750,7.56,-2.94,14,4,,,,,1820,1526,,,104.3,.408,.236,.556,56.3,63.8,10.8,9.1,.532,21.1,40.9,.263
238,South Carolina State NCAA,30,22,8,.733,-5.68,-10.23,16,2,,,,,2231,2099,,,104.1,.463,.264,.552,51.1,41.8,10.1,10.7,.515,20.5,38.0,.317
239,South Carolina NCAA,31,23,8,.742,12.51,8.77,11,5,,,,,2211,2088,,,103.4,.481,.320,.539,51.2,52.9,8.6,9.5,.496,18.6,35.5,.333
240,South Florida,30,17,13,.567,2.69,3.16,7,9,,,,,1974,1988,,,95.3,.421,.321,.481,48.7,56.5,14.3,7.8,.439,17.9,36.9,.276
241,Southeast Missouri State,27,14,13,.519,-6.65,-5.53,10,8,,,,,1976,1939,,,108.9,.342,.373,.551,47.8,58.5,8.8,6.1,.521,16.8,28.3,.240
242,Southeastern Louisiana,26,6,20,.231,-18.74,-8.91,2,14,,,,,2065,2230,,,101.2,.284,.370,.531,48.7,56.9,9.0,5.1,.509,19.5,36.1,.188
243,Southern California,28,9,19,.321,2.13,7.49,5,13,,,,,2101,2251,,,98.5,.317,.346,.518,48.9,51.6,11.1,10.5,.495,19.3,34.8,.202
244,Southern Illinois,32,14,18,.438,1.79,2.31,8,10,,,,,2266,2258,,,106.0,.307,.345,.520,56.0,54.9,9.4,5.5,.493,18.7,45.4,.205
245,Southern Methodist,28,18,10,.643,5.63,0.45,6,8,,,,,2141,1967,,,109.1,.384,.337,.519,52.3,48.5,10.1,7.6,.482,14.8,41.7,.263
246,Southern Mississippi,33,22,11,.667,8.93,2.43,9,7,,,,,2283,2057,,,105.2,.450,.211,.548,51.8,58.8,9.2,9.1,.509,18.6,32.1,.311
247,Southern Utah,27,7,20,.259,-13.89,-5.41,4,12,,,,,1861,2052,,,93.3,.392,.312,.498,45.8,53.7,10.7,10.6,.455,19.4,30.1,.272
248,Southern,27,14,13,.519,-7.85,-11.15,10,6,,,,,2333,2169,,,108.2,.444,.260,.533,48.1,44.7,13.8,6.6,.501,16.7,40.3,.289
249,St. Bonaventure,32,17,15,.531,4.12,3.43,6,10,,,,,2104,2082,,,97.3,.429,.269,.498,52.1,49.6,12.8,14.4,.463,20.1,41.6,.274
250,St. Francis (NY),27,15,12,.556,-5.54,-6.88,10,6,,,,,1929,1879,,,97.1,.387,.326,.507,49.9,56.3,12.6,7.3,.472,20.2,36.6,.257
251,St. John's (NY) NCAA,32,22,10,.688,11.28,6.77,13,5,,,,,2333,2181,,,103.9,.457,.241,.512,54.6,56.6,10.6,9.7,.477,18.8,45.9,.293
252,Stanford NCAA,35,30,5,.857,19.00,8.18,15,3,,,,,2807,2390,,,113.6,.424,.309,.562,56.4,60.1,7.4,7.8,.518,16.1,40.6,.313
253,Stephen F. Austin,26,10,16,.385,-14.37,-6.29,6,10,,,,,1859,2032,,,97.5,.396,.279,.516,47.2,57.6,12.1,5.3,.477,19.1,33.9,.273
254,Stetson,26,11,15,.423,-12.30,-8.25,8,8,,,,,1815,1898,,,102.8,.445,.270,.518,52.2,53.4,8.1,4.0,.472,17.6,38.1,.311
255,Syracuse NCAA,35,26,9,.743,11.86,7.98,12,6,,,,,2481,2345,,,100.9,.407,.303,.522,50.8,63.9,13.6,13.7,.485,19.0,37.9,.275
256,Temple NCAA,30,21,9,.700,12.50,7.50,13,3,,,,,1970,1820,,,103.1,.372,.397,.504,48.0,50.6,16.8,14.0,.467,15.3,35.9,.252
257,Tennessee-Martin,27,7,20,.259,-16.71,-4.36,5,13,,,,,1709,2002,,,90.3,.332,.295,.517,44.3,59.6,10.7,7.4,.490,22.6,28.3,.216
258,Tennessee State,29,13,16,.448,-9.34,-5.71,8,10,,,,,2065,2051,,,97.2,.292,.381,.503,49.4,51.5,9.5,8.6,.476,18.9,34.5,.193
259,Tennessee Tech,30,9,21,.300,-18.50,-6.38,5,13,,,,,1974,2269,,,87.4,.273,.244,.473,48.3,53.9,11.1,10.5,.452,21.0,33.1,.163
260,Tennessee NCAA,29,20,9,.690,11.15,5.91,9,7,,,,,2200,2048,,,100.5,.419,.308,.516,48.5,51.8,11.0,13.3,.485,17.5,33.8,.270
261,Texas A&M,27,7,20,.259,0.02,2.36,1,15,,,,,2026,2089,,,95.4,.366,.232,.485,50.3,60.7,13.6,8.1,.463,17.7,36.0,.212
262,Texas-Arlington,29,13,16,.448,-11.37,-7.52,8,8,,,,,2078,2150,,,102.5,.358,.329,.527,49.2,57.7,9.7,4.2,.493,18.1,36.0,.247
263,Texas Christian NCAA,33,27,6,.818,22.13,2.54,14,0,,,,,3209,2570,,,119.1,.310,.232,.568,53.1,53.4,13.5,8.6,.538,15.2,41.6,.227
264,Texas-El Paso,26,12,14,.462,0.51,2.93,3,11,,,,,1670,1709,,,97.1,.416,.293,.494,52.0,54.0,8.7,9.3,.456,16.5,32.1,.271
265,Texas-Rio Grande Valley,27,3,24,.111,-18.48,0.93,3,15,,,,,1951,2475,,,89.0,.302,.367,.489,41.0,54.9,12.6,2.8,.464,20.0,27.4,.192
266,Texas-San Antonio,27,16,11,.593,-5.94,-9.78,10,6,,,,,2050,1953,,,102.5,.426,.311,.532,49.9,55.4,10.9,10.0,.508,18.7,35.7,.263
267,Texas Southern,31,15,16,.484,-9.82,-7.34,12,4,,,,,2328,2357,,,99.8,.401,.359,.506,48.8,57.8,10.3,4.0,.466,17.7,36.6,.273
268,Texas State,28,17,11,.607,-5.68,-8.24,10,6,,,,,2038,1951,,,103.3,.426,.223,.542,54.1,53.6,10.0,6.2,.496,19.4,38.6,.311
269,Texas Tech,27,13,14,.481,4.05,5.34,7,9,,,,,2088,2123,,,104.2,.411,.353,.551,47.5,55.0,8.4,6.2,.516,17.1,28.0,.285
270,Texas,31,14,17,.452,4.53,6.46,6,10,,,,,2463,2523,,,102.9,.364,.357,.523,49.6,50.8,9.6,13.9,.490,18.0,37.6,.248
271,Toledo,27,15,12,.556,4.55,0.21,10,8,,,,,1906,1749,,,99.7,.450,.342,.521,51.7,53.5,10.6,6.2,.476,19.5,34.3,.313
272,Towson,28,8,20,.286,-5.97,-3.69,4,14,,,,,1784,1848,,,95.2,.394,.319,.538,48.6,58.2,12.0,6.1,.504,22.3,30.5,.268
273,Troy,27,7,20,.259,-23.08,-9.88,5,11,,,,,1913,2201,,,91.8,.279,.378,.457,48.7,45.7,11.7,8.2,.426,17.6,35.8,.185
274,Tulane,29,7,22,.241,-3.42,2.37,2,14,,,,,1931,2099,,,89.6,.378,.284,.464,50.5,53.9,12.8,12.8,.430,20.9,39.4,.234
275,Tulsa,31,19,12,.613,6.26,3.03,9,5,,,,,2115,2013,,,98.2,.405,.375,.535,52.5,64.3,10.9,12.8,.499,22.5,37.8,.277
276,UCLA NCAA,33,24,9,.727,13.05,11.01,12,6,,,,,2743,2654,,,107.8,.452,.244,.561,50.2,53.2,11.2,7.8,.532,18.4,37.8,.300
277,Utah State NCAA,33,25,8,.758,6.37,1.21,13,3,,,,,2375,2140,,,108.8,.422,.183,.559,54.4,41.1,8.4,5.8,.523,17.1,36.7,.296
278,Utah NCAA,34,30,4,.882,17.06,4.87,12,2,,,,,2381,1959,,,111.1,.478,.278,.576,57.8,61.3,9.1,9.3,.532,18.0,38.2,.349
279,Valparaiso NCAA,33,23,10,.697,1.75,-2.66,13,3,,,,,2440,2257,,,109.2,.412,.273,.557,53.6,61.7,9.6,7.2,.521,18.3,40.1,.290
280,Vanderbilt,33,20,13,.606,11.68,7.02,7,9,,,,,2470,2316,,,104.5,.369,.301,.553,49.3,52.8,13.8,6.3,.520,18.9,35.6,.261
281,Vermont,27,16,11,.593,-2.66,-6.78,11,7,,,,,2005,1884,,,102.9,.416,.282,.514,51.0,55.0,10.1,11.7,.475,16.6,36.7,.280
282,Villanova,29,12,17,.414,6.75,9.06,8,10,,,,,2025,2092,,,98.3,.258,.362,.512,47.5,62.5,9.8,10.4,.490,19.6,35.9,.169
283,Virginia Commonwealth,28,9,19,.321,-5.01,-1.72,4,12,,,,,1787,1879,,,95.6,.329,.342,.499,52.0,58.1,9.8,9.9,.468,20.2,37.2,.218
284,VMI,27,14,13,.519,-11.27,-5.66,8,7,,,,,2037,2022,,,97.7,.312,.344,.499,47.7,53.4,13.4,7.7,.470,17.3,33.8,.205
285,Virginia Tech,27,10,17,.370,3.23,4.67,5,11,,,,,1787,1826,,,98.7,.323,.275,.512,51.2,52.2,9.2,11.6,.481,19.0,37.2,.218
286,Virginia,30,11,19,.367,6.04,10.34,3,13,,,,,1972,2101,,,96.4,.331,.323,.520,53.0,59.0,6.5,10.1,.494,20.7,34.2,.216
287,Wagner,29,13,16,.448,-11.54,-7.33,7,9,,,,,2129,2215,,,95.1,.357,.258,.494,47.7,59.4,11.8,7.4,.465,19.7,35.8,.225
288,Wake Forest,30,16,14,.533,9.63,10.37,7,9,,,,,1974,1996,,,101.2,.403,.388,.520,50.3,46.2,6.7,8.9,.478,18.1,35.6,.282
289,Washington State,29,10,19,.345,5.02,7.82,3,15,,,,,2082,2087,,,96.8,.433,.262,.529,51.9,51.4,8.6,7.8,.490,21.8,35.1,.296
290,Washington NCAA,30,20,10,.667,10.32,8.32,11,7,,,,,2359,2299,,,104.7,.438,.241,.565,51.7,54.9,8.7,8.1,.530,20.2,36.8,.304
291,Weber State,27,14,13,.519,-0.21,-1.13,12,4,,,,,1957,1925,,,103.0,.342,.308,.533,52.6,55.2,11.4,3.6,.497,18.3,37.6,.244
292,West Virginia NCAA,33,24,9,.727,16.24,6.95,11,7,,,,,2647,2282,,,108.8,.309,.231,.518,51.9,50.9,16.7,9.2,.499,14.8,41.4,.189
293,Western Carolina,27,12,15,.444,-10.69,-6.36,6,9,,,,,1946,1979,,,98.8,.290,.276,.504,46.2,58.9,11.0,3.9,.470,16.4,32.4,.208
294,Western Illinois,27,16,11,.593,-8.14,-6.70,11,5,,,,,1918,1896,,,102.7,.367,.289,.522,52.2,63.0,10.9,4.9,.490,17.6,39.2,.247
295,Western Kentucky,29,10,19,.345,-5.29,-1.33,6,12,,,,,1905,2020,,,91.2,.348,.281,.503,48.8,51.6,11.4,10.0,.475,22.9,35.3,.222
296,Western Michigan NCAA,29,21,8,.724,10.29,1.91,14,4,,,,,2286,2043,,,107.6,.376,.300,.570,46.8,55.4,12.9,6.0,.532,17.6,31.2,.280
297,Wichita State,31,16,15,.516,0.94,1.88,11,7,,,,,1970,1999,,,92.5,.416,.376,.472,48.7,57.8,12.0,5.5,.436,17.6,32.7,.260
298,William & Mary,27,20,7,.741,3.31,-4.00,13,3,,,,,1888,1668,,,102.6,.403,.352,.530,49.7,60.4,11.7,10.7,.500,17.4,32.5,.263
299,Winthrop,27,7,20,.259,-20.04,-8.54,4,8,,,,,1712,1911,,,90.8,.321,.346,.467,47.1,57.5,11.6,8.1,.439,18.4,34.3,.198
300,Wisconsin,31,12,19,.387,7.18,9.22,3,13,,,,,1877,1940,,,93.8,.413,.277,.497,49.1,54.0,9.4,9.9,.449,18.6,30.8,.291
301,Wofford,27,9,18,.333,-16.06,-4.85,6,8,,,,,1746,1892,,,91.1,.295,.348,.473,48.6,53.4,9.5,7.4,.445,20.5,34.2,.187
302,Wright State,28,10,18,.357,-4.35,1.50,3,11,,,,,1881,2010,,,91.8,.403,.221,.503,50.4,49.0,10.1,6.5,.466,22.1,35.4,.266
303,Wyoming,28,19,9,.679,5.49,1.53,9,5,,,,,1786,1656,,,100.7,.534,.341,.534,51.6,55.0,8.9,8.1,.477,18.1,32.2,.384
304,Xavier NCAA,30,22,8,.733,19.46,4.76,11,5,,,,,2506,2065,,,112.2,.495,.278,.579,53.7,58.3,15.8,7.5,.533,19.0,42.5,.365
305,Yale,26,12,14,.462,-9.71,-6.79,7,7,,,,,1693,1742,,,94.8,.463,.359,.543,50.0,56.1,12.0,5.0,.492,22.8,28.6,.340
306,Youngstown State,29,20,9,.690,-1.92,-7.66,11,5,,,,,2098,1872,,,106.6,.342,.325,.527,53.5,58.2,8.9,9.1,.498,17.5,41.0,.228
