,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,7,19,.269,-4.94,1.15,2,14,,,,,1766,1875,,,97.2,.379,.287,.493,52.3,54.9,8.5,3.9,.463,18.5,38.4,.236
2,Akron,26,8,18,.308,-1.18,0.98,6,12,,,,,1833,1870,,71.4,96.9,.324,.254,.501,46.4,60.1,11.6,7.1,.465,16.3,29.5,.226
3,Alabama-Birmingham,32,18,14,.563,3.06,2.06,7,7,,,,,2142,2110,,,97.3,.379,.295,.492,51.1,45.6,10.5,8.9,.458,17.7,35.9,.246
4,Alabama State,29,8,21,.276,-21.80,-8.33,5,9,,,,,1839,2220,,,87.7,.395,.271,.473,47.9,42.5,10.7,1.6,.439,21.6,33.6,.245
5,Alabama,31,17,14,.548,9.67,6.04,6,10,,,,,2166,2006,,,,.313,.365,.513,52.1,48.5,,8.4,.475,2.6,38.4,.229
6,Alcorn State,28,11,17,.393,-15.54,-10.17,8,6,,,,,2021,2140,,,94.4,.461,.222,.509,50.4,58.8,9.0,8.5,.473,21.0,36.3,.294
7,American,27,11,16,.407,-5.18,-0.41,7,9,,,,,1831,1920,,,96.4,.378,.306,.498,48.0,41.9,10.6,5.4,.461,18.5,34.9,.255
8,Appalachian State,28,14,14,.500,-5.91,-4.91,8,6,,,,,1990,1954,,,106.0,.379,.305,.568,49.5,55.3,9.9,9.1,.543,19.8,34.5,.253
9,Arizona State,30,10,20,.333,2.08,7.04,2,16,,,,,2181,2233,,,98.1,.257,.288,.498,45.3,64.2,13.4,13.9,.473,16.4,32.6,.171
10,Arizona NCAA,34,25,9,.735,21.60,10.98,11,7,,,,,2852,2491,,,108.4,.407,.268,.533,51.5,55.8,13.6,6.7,.503,16.3,41.0,.267
11,Little Rock,29,18,11,.621,-1.57,-4.09,11,7,,,,,2155,2014,,,97.7,.414,.294,.517,52.7,57.9,5.9,8.7,.483,20.7,39.3,.272
12,Arkansas State,27,15,12,.556,-5.48,-4.48,8,10,,,,,1988,1970,,,100.6,.387,.248,.518,47.3,54.8,9.8,9.7,.485,17.6,33.8,.257
13,Arkansas,32,18,14,.563,14.68,6.99,8,8,,,,,2527,2281,,,104.1,.294,.354,.534,47.5,55.4,13.1,9.4,.508,17.3,34.8,.200
14,Army,26,10,16,.385,-16.77,-8.65,4,8,,,,,1821,1943,,,98.8,.377,.360,.518,50.9,54.4,9.1,4.8,.474,19.0,35.5,.274
15,Auburn,31,16,15,.516,5.36,5.36,6,10,,,,,2056,2017,,,98.0,.339,.400,.503,51.3,53.0,11.7,8.1,.475,19.9,40.9,.218
16,Austin Peay,31,17,14,.548,-5.00,-7.31,12,6,,,,,2398,2278,,,108.1,.401,.342,.555,49.8,50.5,10.1,9.3,.526,16.5,33.1,.269
17,Ball State,29,16,13,.552,1.79,1.47,9,9,,,,,2157,2144,,,101.3,.407,.231,.519,49.2,54.6,12.3,5.2,.487,17.4,35.7,.266
18,Baylor,30,18,12,.600,4.39,2.98,6,10,,,,,2149,2075,,,97.9,.361,.377,.509,49.2,56.3,9.7,11.1,.494,18.3,33.6,.205
19,Bethune-Cookman,28,12,16,.429,-12.05,-9.38,9,9,,,,,1993,2009,,,100.2,.393,.357,.523,46.4,50.1,11.0,7.5,.490,17.4,32.8,.260
20,Boise State,27,14,13,.519,3.08,-0.77,9,7,,,,,1782,1678,,,100.4,.313,.431,.546,46.5,61.4,14.4,8.3,.516,19.1,28.9,.222
21,Boston College NCAA,31,22,9,.710,11.94,6.71,12,6,,,,,2305,2143,,,107.0,.458,.297,.549,53.6,52.3,11.1,6.9,.508,18.4,40.6,.322
22,Boston University NCAA,30,25,5,.833,2.53,-2.84,17,1,,,,,2020,1859,,,97.4,.358,.331,.515,50.3,61.5,11.0,10.9,.482,18.0,30.5,.241
23,Bowling Green State,32,22,10,.688,8.49,1.56,13,5,,,,,2643,2378,,,109.2,.338,.287,.560,46.6,53.6,15.6,8.3,.530,16.0,32.2,.241
24,Bradley,30,17,13,.567,8.02,3.39,12,6,,,,,1928,1789,,,99.6,.447,.274,.536,49.4,57.2,10.2,11.6,.493,18.3,28.9,.313
25,Brigham Young,26,1,25,.038,-13.32,6.45,0,16,,,,,1547,2061,,,85.2,.312,.261,.464,44.9,54.7,8.1,5.0,.432,20.3,29.4,.201
26,Brown,26,4,22,.154,-14.48,-2.13,3,11,,,,,1385,1706,,,83.5,.338,.280,.468,50.5,52.8,8.9,5.9,.427,22.7,31.3,.232
27,Bucknell,29,18,11,.621,-4.18,-8.89,9,3,,,,,2039,1870,,,103.8,.354,.341,.533,52.0,49.2,10.6,11.1,.498,18.4,35.4,.250
28,Buffalo,28,17,11,.607,-4.10,-6.31,11,5,,,,,2002,1940,,,98.0,.536,.313,.513,51.0,55.6,9.9,5.2,.468,19.0,34.2,.352
29,Butler NCAA,33,23,10,.697,7.62,-0.16,12,4,,,,,2299,2004,,,103.5,.531,.273,.539,51.9,56.6,9.5,9.6,.498,18.4,35.2,.355
30,Cal Poly,30,14,16,.467,-0.69,-1.84,6,10,,,,,2444,2324,,,108.2,.323,.427,.547,46.4,54.7,12.6,4.3,.510,16.5,33.9,.242
31,Cal State Fullerton,27,13,14,.481,-3.41,-2.41,6,10,,,,,1968,1995,,,103.8,.365,.356,.542,47.3,54.1,10.7,6.5,.515,17.8,32.6,.242
32,Cal State Northridge,29,14,15,.483,-1.83,-2.87,8,8,,,,,2199,2132,,,100.0,.491,.277,.530,51.8,60.7,13.6,8.0,.502,20.7,39.1,.305
33,UC-Irvine,26,1,25,.038,-20.14,1.09,1,15,,,,,1514,2066,,,81.8,.432,.186,.473,48.4,50.5,9.6,6.9,.437,25.6,33.8,.267
34,UC-Santa Barbara,27,12,15,.444,-5.02,-0.94,7,9,,,,,1864,1935,,,101.1,.416,.243,.542,52.2,56.6,8.7,6.1,.500,20.8,37.0,.297
35,University of California NCAA,32,23,9,.719,17.25,10.03,12,6,,,,,2402,2171,,,102.9,.405,.229,.529,51.7,59.7,11.6,10.4,.494,18.8,39.1,.272
36,Campbell,27,11,16,.407,-14.70,-7.22,8,8,,,,,1770,1907,,,95.9,.300,.330,.508,48.8,58.0,8.2,8.7,.479,19.2,32.2,.203
37,Canisius,29,17,12,.586,4.00,-1.97,10,4,,,,,1822,1649,,,99.1,.323,.303,.497,48.2,61.6,9.6,7.1,.465,16.7,34.3,.217
38,Centenary (LA),27,9,18,.333,-18.09,-8.09,6,10,,,,,1989,2192,,,,.385,.344,.491,46.8,49.2,,3.9,.459,16.5,,.242
39,Central Connecticut State,27,8,19,.296,-12.02,-6.91,4,12,,,,,1673,1811,,,93.4,.344,.250,.493,49.4,52.4,13.4,5.3,.459,20.5,37.2,.229
40,Central Florida,26,7,19,.269,-18.26,-8.76,4,12,,,,,1790,1989,,,92.9,.334,.344,.496,49.0,49.1,8.4,6.7,.463,20.5,34.7,.223
41,Central Michigan,26,7,19,.269,-10.21,-0.01,4,14,,,,,1877,2101,,,97.5,.447,.324,.543,50.4,55.6,5.5,9.3,.498,22.6,34.1,.320
42,Charleston Southern NCAA,30,17,13,.567,-6.93,-6.58,7,7,,,,,2151,2102,,,100.4,.394,.329,.524,48.2,63.1,10.5,7.7,.485,17.2,31.5,.274
43,Charlotte NCAA,31,22,9,.710,10.77,5.18,10,4,,,,,2217,2044,,,105.0,.368,.289,.513,51.3,57.4,10.0,9.8,.467,15.5,37.6,.271
44,Chattanooga NCAA,35,24,11,.686,2.60,-5.21,11,3,,,,,2680,2281,,,111.9,.412,.320,.551,55.2,56.5,12.0,6.0,.516,16.8,42.9,.285
45,Chicago State,27,4,23,.148,-19.07,-2.22,4,12,,,,,1863,2318,,,87.0,.285,.282,.454,45.7,58.8,12.1,5.7,.436,19.3,33.5,.159
46,Cincinnati NCAA,34,26,8,.765,20.64,5.44,12,2,,,,,2743,2226,,,115.2,.477,.286,.577,56.6,54.6,11.1,7.8,.544,18.0,46.3,.328
47,Citadel,27,13,14,.481,-8.79,-6.13,6,8,,,,,1932,1857,,,103.3,.392,.280,.518,48.2,52.5,8.0,12.7,.484,14.9,33.5,.261
48,Clemson NCAA,33,23,10,.697,17.41,10.72,9,7,,,,,2249,2028,,,106.1,.458,.292,.529,53.5,59.2,10.8,8.2,.489,16.6,38.6,.311
49,Cleveland State,28,9,19,.321,-6.71,0.69,6,10,,,,,1811,2018,,,94.7,.457,.305,.500,48.0,57.0,11.5,6.4,.458,20.5,35.9,.301
50,Coastal Carolina,27,11,16,.407,-12.30,-6.67,6,8,,,,,1717,1825,,,94.9,.322,.303,.484,51.9,50.5,9.3,3.8,.461,19.2,37.3,.196
