,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,10,16,.385,-5.51,2.59,2,12,,,,,1773,1813,,1040,612,1428,.429,196,512,.383,353,541,.652,287,879,361,158,81,370,546
2,Akron,27,17,10,.630,5.57,-0.66,13,5,,,,,2034,1825,,,731,1548,.472,108,348,.310,464,668,.695,313,945,391,256,91,386,474
3,Alabama-Birmingham,33,21,12,.636,6.92,4.67,10,6,,,,,2482,2381,,,860,1945,.442,185,508,.364,577,856,.674,466,1335,454,253,92,569,719
4,Alabama State,28,11,17,.393,-16.78,-10.28,6,10,,,,,1914,2064,,,671,1508,.445,129,359,.359,443,706,.627,367,1022,254,245,61,579,545
5,Alabama,31,15,16,.484,7.73,6.47,6,10,,,,,2168,2139,,,799,1953,.409,186,574,.324,384,548,.701,495,1267,348,219,169,473,572
6,Alcorn State,27,12,15,.444,-12.51,-8.29,8,8,,,,,1996,2040,,,745,1641,.454,136,407,.334,370,600,.617,380,1038,376,221,90,475,539
7,American,28,9,19,.321,-4.91,-0.50,5,11,,,,,1725,1836,,1120,597,1488,.401,160,464,.345,371,538,.690,356,964,284,204,89,471,527
8,Appalachian State,29,21,8,.724,-3.08,-5.81,13,2,,,,,2089,1917,,,741,1646,.450,140,458,.306,467,731,.639,375,1068,412,224,112,432,512
9,Arizona State,32,18,14,.563,7.94,8.00,8,10,,,,,2703,2688,,,1019,2118,.481,172,478,.360,493,661,.746,379,1169,639,290,114,537,558
10,Arizona NCAA,35,30,5,.857,24.58,8.38,17,1,,,,,3177,2610,,,1146,2350,.488,269,714,.377,616,860,.716,513,1372,677,352,113,502,578
11,Little Rock,28,15,13,.536,-5.40,-2.81,10,8,,,,,1887,1931,,,687,1533,.448,134,407,.329,379,588,.645,308,958,405,150,85,390,497
12,Arkansas State,29,20,9,.690,1.20,-3.11,14,4,,,,,2170,2045,,,767,1660,.462,210,529,.397,426,606,.703,312,966,453,199,107,436,571
13,Arkansas NCAA,33,24,9,.727,16.16,5.78,11,5,,,,,2716,2389,,1325,984,2208,.446,237,671,.353,511,788,.648,524,1306,526,356,158,548,680
14,Army,27,8,19,.296,-20.37,-8.18,2,10,,,,,1730,2028,,,593,1441,.412,167,484,.345,377,559,.674,275,834,374,198,56,482,525
15,Auburn,30,16,14,.533,7.45,5.95,7,9,,,,,2068,2023,,,743,1766,.421,197,608,.324,385,596,.646,442,1183,372,215,152,492,560
16,Austin Peay,28,17,11,.607,-4.73,-7.23,11,7,,,,,2013,1889,,1125,741,1682,.441,184,552,.333,347,532,.652,387,1038,426,269,125,435,470
17,Ball State,29,21,8,.724,7.46,0.68,14,4,,,,,2274,2005,,,852,1814,.470,116,386,.301,454,686,.662,408,1012,426,349,67,433,606
18,Baylor,28,14,14,.500,3.17,4.89,8,8,,,,,1970,2018,,,676,1629,.415,217,650,.334,401,648,.619,362,1083,394,189,116,453,542
19,Bethune-Cookman,27,1,26,.037,-27.35,-8.94,1,17,,,,,1644,2139,,,590,1557,.379,102,421,.242,362,636,.569,369,933,240,252,80,631,647
20,Boise State,30,17,13,.567,2.47,-0.53,9,7,,,,,2171,2072,,,736,1592,.462,221,561,.394,478,665,.719,301,838,435,288,85,490,639
21,Boston College,31,15,16,.484,5.14,6.48,6,12,,,,,2167,2198,,,791,1756,.450,173,512,.338,412,640,.644,387,1107,406,238,109,496,522
22,Boston University,30,19,11,.633,-0.02,-2.52,12,6,,,,,2101,2026,,,718,1643,.437,177,493,.359,488,744,.656,371,1124,460,209,87,475,613
23,Bowling Green State,26,10,16,.385,-3.20,0.97,7,11,,,,,1776,1856,,,592,1394,.425,183,501,.365,409,573,.714,285,814,322,176,44,397,491
24,Bradley,29,15,14,.517,4.22,2.11,9,9,,,,,1872,1772,,,656,1487,.441,121,333,.363,439,644,.682,314,1061,433,196,116,438,507
25,Brigham Young,30,9,21,.300,-0.16,6.08,4,10,,,,,1906,2093,,,589,1571,.375,194,638,.304,534,749,.713,381,1060,355,194,72,486,638
26,Brown,26,6,20,.231,-17.25,-5.94,3,11,,,,,1478,1772,,,502,1313,.382,124,404,.307,350,544,.643,260,855,272,125,39,380,480
27,Bucknell,28,13,15,.464,-6.81,-6.81,8,4,,,,,1947,1922,,,676,1495,.452,188,520,.362,407,592,.688,321,970,349,175,91,471,537
28,Buffalo,28,15,13,.536,-6.20,-6.39,9,7,,,,,2098,2033,,,709,1574,.450,170,505,.337,510,701,.728,297,968,442,175,67,362,494
29,Butler NCAA,33,22,11,.667,4.86,2.76,8,6,,,,,2228,2052,,,730,1642,.445,152,478,.318,616,929,.663,370,1163,400,177,96,491,612
30,Cal Poly,28,14,14,.500,-7.95,-3.47,7,9,,,,,2367,2398,,,783,1759,.445,246,654,.376,555,791,.702,346,999,407,212,63,418,569
31,Cal State Fullerton,28,12,16,.429,-3.52,-0.96,6,10,,,,,2056,2085,,,728,1675,.435,182,503,.362,418,680,.615,380,1016,368,224,95,483,571
32,Cal State Northridge,28,12,16,.429,-1.35,-3.26,7,9,,,,,2356,2242,,,797,1761,.453,241,643,.375,521,749,.696,414,1085,467,227,74,511,691
33,UC-Irvine,27,9,18,.333,-7.87,0.49,6,10,,,,,1681,1877,,,564,1407,.401,172,515,.334,381,517,.737,253,815,328,223,51,448,560
34,UC-Santa Barbara,26,7,19,.269,-7.58,-0.21,4,12,,,,,1861,1977,,,689,1494,.461,120,378,.317,363,519,.699,341,935,367,169,66,455,501
35,University of California,27,12,15,.444,8.37,7.99,8,10,,,,,1899,1876,,,691,1578,.438,100,328,.305,417,618,.675,330,959,321,227,97,422,519
36,Campbell,27,10,17,.370,-18.24,-7.74,4,12,,,,,1726,1921,,,592,1461,.405,185,539,.343,357,549,.650,336,974,364,174,117,474,501
37,Canisius,27,13,14,.481,-3.07,-0.48,9,9,,,,,1844,1915,,,642,1483,.433,155,449,.345,405,600,.675,356,952,387,145,71,381,477
38,Centenary (LA),30,10,20,.333,-12.16,-7.42,8,8,,,,,2072,2214,,,730,1664,.439,168,454,.370,444,700,.634,,1071,380,226,75,,632
39,Central Connecticut State,26,4,22,.154,-17.57,-6.29,3,13,,,,,1705,1996,,,628,1537,.409,149,433,.344,300,447,.671,359,956,320,198,88,500,537
40,Central Florida,28,17,11,.607,-5.10,-7.94,11,5,,,,,2130,1998,,,788,1675,.470,137,391,.350,417,630,.662,375,1071,429,258,116,469,591
41,Central Michigan,26,5,21,.192,-11.57,2.47,3,15,,,,,1788,2117,,,612,1416,.432,161,466,.345,403,593,.680,260,879,320,152,79,539,585
42,Charleston Southern,27,5,22,.185,-20.41,-8.29,2,10,,,,,1883,2127,,,694,1509,.460,134,356,.376,361,564,.640,318,946,319,169,73,532,605
43,Charlotte NCAA,31,20,11,.645,12.21,6.73,13,3,,,,,2283,2113,,,816,1866,.437,180,525,.343,471,665,.708,426,1176,481,266,73,447,561
44,Chattanooga,28,13,15,.464,-8.70,-4.83,7,7,,,,,1771,1809,,,626,1550,.404,200,551,.363,319,461,.692,405,950,372,176,42,371,497
45,Chicago State,27,2,25,.074,-25.22,-3.60,2,14,,,,,1837,2421,,,686,1856,.370,154,515,.299,311,507,.613,451,1012,311,240,86,439,583
